UF,cod.UF,cod Municipio,Nome do municipio,População estimada,PIB per capita,PIB TOTAL (em R$ mi),Atividade econômica,Ranking PIB per capita,Ranking PIB Total
RO,11,1100015,Alta Floresta D'Oeste,25578,19612,498864,"Administração, defesa, educação e saúde públicas e seguridade social",2345,1326
RO,11,1100379,Alto Alegre dos Parecis,13940,23883,335440,"Agricultura, inclusive apoio à agricultura e a pós colheita",1762,1755
RO,11,1100403,Alto Paraíso,20210,15289,319784,"Administração, defesa, educação e saúde públicas e seguridade social",2993,1831
RO,11,1100346,Alvorada D'Oeste,17063,15686,262692,"Administração, defesa, educação e saúde públicas e seguridade social",2931,2114
RO,11,1100023,Ariquemes,104401,21390,2296074,Demais serviços,2085,393
RO,11,1100452,Buritis,37838,17064,666233,"Administração, defesa, educação e saúde públicas e seguridade social",2705,1061
RO,11,1100031,Cabixi,6355,22316,138894,"Administração, defesa, educação e saúde públicas e seguridade social",1967,3202
RO,11,1100601,Cacaulândia,6367,21794,140788,"Pecuária, inclusive apoio à pecuária",2040,3182
RO,11,1100049,Cacoal,87226,24038,2127523,Demais serviços,1740,411
RO,11,1100700,Campo Novo de Rondônia,14220,19092,276532,"Pecuária, inclusive apoio à pecuária",2414,2032
RO,11,1100809,Candeias do Jamari,24155,21300,538155,"Administração, defesa, educação e saúde públicas e seguridade social",2092,1242
RO,11,1100908,Castanheiras,3617,31404,111483,"Produção florestal, pesca e aquicultura",1066,3580
RO,11,1100056,Cerejeiras,17986,25010,448524,"Administração, defesa, educação e saúde públicas e seguridade social",1617,1439
RO,11,1100924,Chupinguaia,10129,26505,280763,"Pecuária, inclusive apoio à pecuária",1461,2013
RO,11,1100064,Colorado do Oeste,18817,18414,340047,"Administração, defesa, educação e saúde públicas e seguridade social",2524,1736
RO,11,1100072,Corumbiara,8842,38156,330393,"Produção florestal, pesca e aquicultura",680,1783
RO,11,1100080,Costa Marques,16651,12413,215992,"Administração, defesa, educação e saúde públicas e seguridade social",3484,2426
RO,11,1100940,Cujubim,20974,14438,324023,"Administração, defesa, educação e saúde públicas e seguridade social",3138,1810
RO,11,1100098,Espigão D'Oeste,32385,17499,577982,"Administração, defesa, educação e saúde públicas e seguridade social",2636,1190
RO,11,1101005,Governador Jorge Teixeira,10127,18741,182629,"Pecuária, inclusive apoio à pecuária",2475,2725
RO,11,1100106,Guajará-Mirim,46632,16956,804570,"Administração, defesa, educação e saúde públicas e seguridade social",2717,923
RO,11,1101104,Itapuã do Oeste,9995,15599,160828,"Administração, defesa, educação e saúde públicas e seguridade social",2948,2940
RO,11,1100114,Jaru,55738,25302,1413628,Demais serviços,1583,590
RO,11,1100122,Ji-Paraná,130419,22815,3026759,Demais serviços,1896,301
RO,11,1100130,Machadinho D'Oeste,37167,15725,607111,"Administração, defesa, educação e saúde públicas e seguridade social",2925,1151
RO,11,1101203,Ministro Andreazza,10823,20286,218099,"Administração, defesa, educação e saúde públicas e seguridade social",2244,2410
RO,11,1101302,Mirante da Serra,12360,17327,212397,"Administração, defesa, educação e saúde públicas e seguridade social",2663,2457
RO,11,1101401,Monte Negro,15873,16573,268258,"Administração, defesa, educação e saúde públicas e seguridade social",2793,2079
RO,11,1100148,Nova Brasilândia D'Oeste,21592,16598,360966,"Administração, defesa, educação e saúde públicas e seguridade social",2786,1672
RO,11,1100338,Nova Mamoré,27600,16373,473026,"Pecuária, inclusive apoio à pecuária",2819,1386
RO,11,1101435,Nova União,7824,15638,121495,"Pecuária, inclusive apoio à pecuária",2939,3443
RO,11,1100502,Novo Horizonte do Oeste,10276,16745,168303,"Administração, defesa, educação e saúde públicas e seguridade social",2760,2864
RO,11,1100155,Ouro Preto do Oeste,39924,19561,777713,"Administração, defesa, educação e saúde públicas e seguridade social",2354,941
RO,11,1101450,Parecis,5697,17343,102393,"Pecuária, inclusive apoio à pecuária",2658,3725
RO,11,1100189,Pimenta Bueno,37512,28289,1076411,"Administração, defesa, educação e saúde públicas e seguridade social",1290,716
RO,11,1101468,Pimenteiras do Oeste,2424,41090,99026,"Pecuária, inclusive apoio à pecuária",571,3788
RO,11,1100205,Porto Velho,502748,31793,16514535,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",1032,55
RO,11,1100254,Presidente Médici,22557,18760,415050,"Administração, defesa, educação e saúde públicas e seguridade social",2474,1524
RO,11,1101476,Primavera de Rondônia,3501,18574,63356,"Administração, defesa, educação e saúde públicas e seguridade social",2498,4537
RO,11,1100262,Rio Crespo,3750,27767,106320,"Pecuária, inclusive apoio à pecuária",1332,3665
RO,11,1100288,Rolim de Moura,56242,22734,1297525,"Administração, defesa, educação e saúde públicas e seguridade social",1912,627
RO,11,1100296,Santa Luzia D'Oeste,8532,19348,158612,"Administração, defesa, educação e saúde públicas e seguridade social",2380,2969
RO,11,1101484,São Felipe D'Oeste,6103,15205,91138,"Administração, defesa, educação e saúde públicas e seguridade social",3009,3931
RO,11,1101492,São Francisco do Guaporé,19002,17336,341413,"Pecuária, inclusive apoio à pecuária",2660,1731
RO,11,1100320,São Miguel do Guaporé,23933,26877,649904,"Agricultura, inclusive apoio à agricultura e a pós colheita",1416,1087
RO,11,1101500,Seringueiras,12581,19010,240537,"Administração, defesa, educação e saúde públicas e seguridade social",2429,2251
RO,11,1101559,Teixeirópolis,5003,16916,83415,"Pecuária, inclusive apoio à pecuária",2726,4084
RO,11,1101609,Theobroma,11347,16283,184817,"Pecuária, inclusive apoio à pecuária",2834,2699
RO,11,1101708,Urupá,13293,15946,208989,"Administração, defesa, educação e saúde públicas e seguridade social",2891,2483
RO,11,1101757,Vale do Anari,10843,13524,150777,"Administração, defesa, educação e saúde públicas e seguridade social",3300,3058
RO,11,1101807,Vale do Paraíso,8231,17488,140728,"Pecuária, inclusive apoio à pecuária",2641,3185
RO,11,1100304,Vilhena,91801,26724,2555582,Demais serviços,1438,365
AC,12,1200013,Acrelândia,13869,15984,229627,"Administração, defesa, educação e saúde públicas e seguridade social",2884,2321
AC,12,1200054,Assis Brasil,6738,13132,91741,"Administração, defesa, educação e saúde públicas e seguridade social",3364,3921
AC,12,1200104,Brasiléia,23849,15664,387911,"Administração, defesa, educação e saúde públicas e seguridade social",2934,1591
AC,12,1200138,Bujari,9339,16380,158298,"Administração, defesa, educação e saúde públicas e seguridade social",2816,2971
AC,12,1200179,Capixaba,10498,15354,170986,"Administração, defesa, educação e saúde públicas e seguridade social",2981,2840
AC,12,1200203,Cruzeiro do Sul,81519,15586,1287722,"Administração, defesa, educação e saúde públicas e seguridade social",2953,629
AC,12,1200252,Epitaciolândia,16731,25139,435911,Comércio e reparação de veículos automotores e motocicletas,1605,1465
AC,12,1200302,Feijó,32385,10843,350870,"Administração, defesa, educação e saúde públicas e seguridade social",3811,1703
AC,12,1200328,Jordão,7509,10006,78628,"Administração, defesa, educação e saúde públicas e seguridade social",4028,4191
AC,12,1200336,Mâncio Lima,17173,10855,194418,"Administração, defesa, educação e saúde públicas e seguridade social",3809,2601
AC,12,1200344,Manoel Urbano,8641,15260,135599,"Administração, defesa, educação e saúde públicas e seguridade social",3000,3259
AC,12,1200351,Marechal Thaumaturgo,16895,10915,195343,"Administração, defesa, educação e saúde públicas e seguridade social",3791,2594
AC,12,1200385,Plácido de Castro,18159,13031,241198,"Administração, defesa, educação e saúde públicas e seguridade social",3378,2243
AC,12,1200807,Porto Acre,16757,13169,229923,"Administração, defesa, educação e saúde públicas e seguridade social",3358,2316
AC,12,1200393,Porto Walter,10759,9928,112709,"Administração, defesa, educação e saúde públicas e seguridade social",4050,3562
AC,12,1200401,Rio Branco,370550,21259,8151494,Demais serviços,2102,133
AC,12,1200427,Rodrigues Alves,16974,10310,185007,"Administração, defesa, educação e saúde públicas e seguridade social",3954,2696
AC,12,1200435,Santa Rosa do Purus,5809,11440,71271,"Administração, defesa, educação e saúde públicas e seguridade social",3663,4354
AC,12,1200500,Sena Madureira,41750,11602,500512,"Administração, defesa, educação e saúde públicas e seguridade social",3632,1318
AC,12,1200450,Senador Guiomard,21182,16693,359758,"Administração, defesa, educação e saúde públicas e seguridade social",2769,1674
AC,12,1200609,Tarauacá,38819,11764,470838,"Administração, defesa, educação e saúde públicas e seguridade social",3597,1391
AC,12,1200708,Xapuri,17608,12727,231297,"Administração, defesa, educação e saúde públicas e seguridade social",3435,2304
AM,13,1300029,Alvarães,15545,10001,159093,"Administração, defesa, educação e saúde públicas e seguridade social",4032,2962
AM,13,1300060,Amaturá,10847,7186,80789,"Administração, defesa, educação e saúde públicas e seguridade social",5078,4148
AM,13,1300086,Anamã,12320,8330,108109,"Administração, defesa, educação e saúde públicas e seguridade social",4584,3635
AM,13,1300102,Anori,19292,9549,192852,"Administração, defesa, educação e saúde públicas e seguridade social",4161,2618
AM,13,1300144,Apuí,20648,9038,193460,"Administração, defesa, educação e saúde públicas e seguridade social",4311,2611
AM,13,1300201,Atalaia do Norte,18133,7407,141142,"Administração, defesa, educação e saúde públicas e seguridade social",4986,3172
AM,13,1300300,Autazes,37033,8527,327908,"Administração, defesa, educação e saúde públicas e seguridade social",4506,1789
AM,13,1300409,Barcelos,27433,5784,160472,"Administração, defesa, educação e saúde públicas e seguridade social",5497,2945
AM,13,1300508,Barreirinha,30658,7594,239532,"Administração, defesa, educação e saúde públicas e seguridade social",4891,2259
AM,13,1300607,Benjamin Constant,39484,6767,279664,"Administração, defesa, educação e saúde públicas e seguridade social",5243,2016
AM,13,1300631,Beruri,18171,7451,141404,"Administração, defesa, educação e saúde públicas e seguridade social",4957,3168
AM,13,1300680,Boa Vista do Ramos,17668,6795,125587,"Administração, defesa, educação e saúde públicas e seguridade social",5236,3381
AM,13,1300706,Boca do Acre,33498,10668,364600,"Administração, defesa, educação e saúde públicas e seguridade social",3857,1663
AM,13,1300805,Borba,39292,7314,295945,"Administração, defesa, educação e saúde públicas e seguridade social",5029,1953
AM,13,1300839,Caapiranga,12420,11102,142324,"Administração, defesa, educação e saúde públicas e seguridade social",3740,3153
AM,13,1300904,Canutama,15130,6646,102951,"Administração, defesa, educação e saúde públicas e seguridade social",5295,3711
AM,13,1301001,Carauari,27880,10075,285495,"Administração, defesa, educação e saúde públicas e seguridade social",4009,1991
AM,13,1301100,Careiro,36435,7283,272381,"Administração, defesa, educação e saúde públicas e seguridade social",5044,2054
AM,13,1301159,Careiro da Várzea,27981,10730,313218,"Agricultura, inclusive apoio à agricultura e a pós colheita",3845,1865
AM,13,1301209,Coari,83078,15580,1320621,"Administração, defesa, educação e saúde públicas e seguridade social",2955,620
AM,13,1301308,Codajás,26777,16683,464071,"Produção florestal, pesca e aquicultura",2772,1402
AM,13,1301407,Eirunepé,34025,12432,433725,"Produção florestal, pesca e aquicultura",3480,1469
AM,13,1301506,Envira,18786,7628,148680,"Administração, defesa, educação e saúde públicas e seguridade social",4881,3082
AM,13,1301605,Fonte Boa,20742,8507,167327,"Administração, defesa, educação e saúde públicas e seguridade social",4520,2871
AM,13,1301654,Guajará,15826,7088,115818,"Administração, defesa, educação e saúde públicas e seguridade social",5123,3524
AM,13,1301704,Humaitá,51302,10401,555210,"Administração, defesa, educação e saúde públicas e seguridade social",3931,1220
AM,13,1301803,Ipixuna,26860,4942,139858,"Administração, defesa, educação e saúde públicas e seguridade social",5562,3194
AM,13,1301852,Iranduba,45984,14858,704369,"Administração, defesa, educação e saúde públicas e seguridade social",3063,1016
AM,13,1301902,Itacoatiara,97122,19817,1978815,Demais serviços,2311,436
AM,13,1301951,Itamarati,8179,11537,93772,"Administração, defesa, educação e saúde públicas e seguridade social",3648,3877
AM,13,1302009,Itapiranga,8953,11789,107576,"Administração, defesa, educação e saúde públicas e seguridade social",3593,3645
AM,13,1302108,Japurá,5125,14736,61964,"Administração, defesa, educação e saúde públicas e seguridade social",3086,4572
AM,13,1302207,Juruá,13198,7146,99727,"Administração, defesa, educação e saúde públicas e seguridade social",5097,3774
AM,13,1302306,Jutaí,16585,13794,218279,"Administração, defesa, educação e saúde públicas e seguridade social",3245,2407
AM,13,1302405,Lábrea,43263,11033,494952,"Administração, defesa, educação e saúde públicas e seguridade social",3750,1337
AM,13,1302504,Manacapuru,94175,15811,1525165,"Agricultura, inclusive apoio à agricultura e a pós colheita",2909,553
AM,13,1302553,Manaquiri,28413,7806,235922,"Administração, defesa, educação e saúde públicas e seguridade social",4788,2275
AM,13,1302603,Manaus,2057711,34363,73201651,Indústrias de transformação,870,8
AM,13,1302702,Manicoré,53053,9065,495942,"Administração, defesa, educação e saúde públicas e seguridade social",4301,1331
AM,13,1302801,Maraã,18423,8326,154283,"Administração, defesa, educação e saúde públicas e seguridade social",4587,3019
AM,13,1302900,Maués,59983,7376,458903,"Administração, defesa, educação e saúde públicas e seguridade social",4997,1418
AM,13,1303007,Nhamundá,20358,6798,142087,"Administração, defesa, educação e saúde públicas e seguridade social",5234,3158
AM,13,1303106,Nova Olinda do Norte,35156,6427,234152,"Administração, defesa, educação e saúde públicas e seguridade social",5364,2284
AM,13,1303205,Novo Airão,17671,7077,131530,"Administração, defesa, educação e saúde públicas e seguridade social",5125,3306
AM,13,1303304,Novo Aripuanã,24315,7288,183026,"Administração, defesa, educação e saúde públicas e seguridade social",5042,2722
AM,13,1303403,Parintins,111575,9594,1092092,"Administração, defesa, educação e saúde públicas e seguridade social",4146,706
AM,13,1303502,Pauini,19378,7691,150716,"Administração, defesa, educação e saúde públicas e seguridade social",4845,3061
AM,13,1303536,Presidente Figueiredo,32812,12866,444819,"Administração, defesa, educação e saúde públicas e seguridade social",3415,1446
AM,13,1303569,Rio Preto da Eva,30530,11994,383824,"Administração, defesa, educação e saúde públicas e seguridade social",3550,1603
AM,13,1303601,Santa Isabel do Rio Negro,22404,5160,122622,"Administração, defesa, educação e saúde públicas e seguridade social",5549,3431
AM,13,1303700,Santo Antônio do Içá,23688,7478,172544,"Administração, defesa, educação e saúde públicas e seguridade social",4947,2822
AM,13,1303809,São Gabriel da Cachoeira,43094,7037,313522,"Administração, defesa, educação e saúde públicas e seguridade social",5138,1860
AM,13,1303908,São Paulo de Olivença,36536,6186,235365,"Administração, defesa, educação e saúde públicas e seguridade social",5428,2278
AM,13,1303957,São Sebastião do Uatumã,12781,7567,101554,"Administração, defesa, educação e saúde públicas e seguridade social",4903,3743
AM,13,1304005,Silves,9081,10454,96289,"Administração, defesa, educação e saúde públicas e seguridade social",3917,3836
AM,13,1304062,Tabatinga,61028,7256,461733,"Administração, defesa, educação e saúde públicas e seguridade social",5055,1414
AM,13,1304104,Tapauá,18152,18897,338818,"Produção florestal, pesca e aquicultura",2449,1747
AM,13,1304203,Tefé,62444,12009,744800,"Administração, defesa, educação e saúde públicas e seguridade social",3542,974
AM,13,1304237,Tonantins,18478,6591,123792,"Administração, defesa, educação e saúde públicas e seguridade social",5320,3405
AM,13,1304260,Uarini,13121,13881,186400,"Agricultura, inclusive apoio à agricultura e a pós colheita",3229,2678
AM,13,1304302,Urucará,17163,17566,298060,"Produção florestal, pesca e aquicultura",2627,1942
AM,13,1304401,Urucurituba,21140,6451,142872,"Administração, defesa, educação e saúde públicas e seguridade social",5356,3149
RR,14,1400050,Alto Alegre,16176,17453,278084,"Administração, defesa, educação e saúde públicas e seguridade social",2646,2025
RR,14,1400027,Amajari,11006,14119,163220,"Administração, defesa, educação e saúde públicas e seguridade social",3186,2916
RR,14,1400100,Boa Vista,320714,26924,8939317,"Administração, defesa, educação e saúde públicas e seguridade social",1410,113
RR,14,1400159,Bonfim,11739,22360,267087,"Administração, defesa, educação e saúde públicas e seguridade social",1962,2087
RR,14,1400175,Cantá,16149,14685,247837,"Administração, defesa, educação e saúde públicas e seguridade social",3094,2204
RR,14,1400209,Caracaraí,20261,16853,350653,"Administração, defesa, educação e saúde públicas e seguridade social",2740,1705
RR,14,1400233,Caroebe,9165,17176,163048,"Administração, defesa, educação e saúde públicas e seguridade social",2688,2918
RR,14,1400282,Iracema,10320,13933,151293,"Administração, defesa, educação e saúde públicas e seguridade social",3218,3050
RR,14,1400308,Mucajaí,16380,17804,300036,"Administração, defesa, educação e saúde públicas e seguridade social",2593,1928
RR,14,1400407,Normandia,10148,14108,148517,"Administração, defesa, educação e saúde públicas e seguridade social",3188,3086
RR,14,1400456,Pacaraima,11908,13881,171774,"Administração, defesa, educação e saúde públicas e seguridade social",3230,2830
RR,14,1400472,Rorainópolis,27288,18833,531363,"Administração, defesa, educação e saúde públicas e seguridade social",2463,1260
RR,14,1400506,São João da Baliza,7516,20042,155122,"Administração, defesa, educação e saúde públicas e seguridade social",2278,3006
RR,14,1400605,São Luiz,7407,15711,119354,"Administração, defesa, educação e saúde públicas e seguridade social",2927,3476
RR,14,1400704,Uiramutã,9488,11847,116530,"Administração, defesa, educação e saúde públicas e seguridade social",3582,3518
PA,15,1500107,Abaetetuba,150431,8718,1337194,"Administração, defesa, educação e saúde públicas e seguridade social",4427,615
PA,15,1500131,Abel Figueiredo,7126,11151,80635,"Administração, defesa, educação e saúde públicas e seguridade social",3726,4153
PA,15,1500206,Acará,54064,17231,932152,"Agricultura, inclusive apoio à agricultura e a pós colheita",2676,805
PA,15,1500305,Afuá,37398,9392,358261,"Administração, defesa, educação e saúde públicas e seguridade social",4201,1681
PA,15,1500347,Água Azul do Norte,26305,16599,442902,"Pecuária, inclusive apoio à pecuária",2785,1452
PA,15,1500404,Alenquer,54662,11028,609244,"Agricultura, inclusive apoio à agricultura e a pós colheita",3753,1147
PA,15,1500503,Almeirim,33372,20065,666049,Indústrias de transformação,2276,1063
PA,15,1500602,Altamira,108382,22440,2500591,Demais serviços,1951,369
PA,15,1500701,Anajás,27540,7192,204720,"Administração, defesa, educação e saúde públicas e seguridade social",5077,2519
PA,15,1500800,Ananindeua,505404,13524,6979135,Demais serviços,3299,147
PA,15,1500859,Anapu,25414,12961,351203,"Administração, defesa, educação e saúde públicas e seguridade social",3399,1701
PA,15,1500909,Augusto Corrêa,43700,7439,332775,"Administração, defesa, educação e saúde públicas e seguridade social",4967,1768
PA,15,1500958,Aurora do Pará,29492,9103,277393,"Administração, defesa, educação e saúde públicas e seguridade social",4283,2028
PA,15,1501006,Aveiro,15953,9075,144717,"Administração, defesa, educação e saúde públicas e seguridade social",4298,3130
PA,15,1501105,Bagre,28292,5913,176241,"Administração, defesa, educação e saúde públicas e seguridade social",5478,2789
PA,15,1501204,Baião,43757,7733,356591,"Administração, defesa, educação e saúde públicas e seguridade social",4820,1689
PA,15,1501253,Bannach,3267,23895,76463,"Pecuária, inclusive apoio à pecuária",1759,4245
PA,15,1501303,Barcarena,115779,39733,4815194,Indústrias de transformação,615,203
PA,15,1501402,Belém,1439561,20821,30238484,Demais serviços,2181,24
PA,15,1501451,Belterra,17036,9164,158064,"Administração, defesa, educação e saúde públicas e seguridade social",4263,2972
PA,15,1501501,Benevides,58637,22854,1393885,Indústrias de transformação,1891,595
PA,15,1501576,Bom Jesus do Tocantins,16227,9967,164626,"Administração, defesa, educação e saúde públicas e seguridade social",4041,2906
PA,15,1501600,Bonito,15282,8604,136234,"Administração, defesa, educação e saúde públicas e seguridade social",4475,3251
PA,15,1501709,Bragança,121528,8986,1115895,"Administração, defesa, educação e saúde públicas e seguridade social",4327,695
PA,15,1501725,Brasil Novo,14984,16342,240049,"Administração, defesa, educação e saúde públicas e seguridade social",2824,2254
PA,15,1501758,Brejo Grande do Araguaia,7232,11218,80570,"Administração, defesa, educação e saúde públicas e seguridade social",3708,4156
PA,15,1501782,Breu Branco,61222,9040,580334,"Administração, defesa, educação e saúde públicas e seguridade social",4309,1186
PA,15,1501808,Breves,98231,7441,743286,"Administração, defesa, educação e saúde públicas e seguridade social",4966,977
PA,15,1501907,Bujaru,27689,17606,498805,"Agricultura, inclusive apoio à agricultura e a pós colheita",2622,1327
PA,15,1502004,Cachoeira do Arari,22449,7463,172478,"Administração, defesa, educação e saúde públicas e seguridade social",4952,2823
PA,15,1501956,Cachoeira do Piriá,31300,5709,188108,"Administração, defesa, educação e saúde públicas e seguridade social",5511,2660
PA,15,1502103,Cametá,130868,8826,1183525,"Administração, defesa, educação e saúde públicas e seguridade social",4382,668
PA,15,1502152,Canaã dos Carajás,33632,113457,4087532,Indústrias extrativas,41,231
PA,15,1502202,Capanema,66353,14406,967351,Demais serviços,3142,776
PA,15,1502301,Capitão Poço,52693,8592,453986,"Administração, defesa, educação e saúde públicas e seguridade social",4479,1428
PA,15,1502400,Castanhal,189784,19243,3757159,Demais serviços,2393,251
PA,15,1502509,Chaves,22566,7864,181401,"Administração, defesa, educação e saúde públicas e seguridade social",4763,2739
PA,15,1502608,Colares,11682,6722,79043,"Administração, defesa, educação e saúde públicas e seguridade social",5263,4178
PA,15,1502707,Conceição do Araguaia,46395,12011,559361,"Administração, defesa, educação e saúde públicas e seguridade social",3540,1216
PA,15,1502756,Concórdia do Pará,31352,9025,292354,"Administração, defesa, educação e saúde públicas e seguridade social",4314,1968
PA,15,1502764,Cumaru do Norte,12423,21037,275435,"Pecuária, inclusive apoio à pecuária",2139,2034
PA,15,1502772,Curionópolis,17709,49264,859809,Indústrias extrativas,345,871
PA,15,1502806,Curralinho,32248,18841,630977,"Agricultura, inclusive apoio à agricultura e a pós colheita",2461,1112
PA,15,1502855,Curuá,13562,8641,120940,"Administração, defesa, educação e saúde públicas e seguridade social",4462,3447
PA,15,1502905,Curuçá,37800,7090,276234,"Administração, defesa, educação e saúde públicas e seguridade social",5121,2033
PA,15,1502939,Dom Eliseu,56398,11707,679818,"Administração, defesa, educação e saúde públicas e seguridade social",3611,1042
PA,15,1502954,Eldorado dos Carajás,32664,10924,359313,"Administração, defesa, educação e saúde públicas e seguridade social",3787,1677
PA,15,1503002,Faro,7333,8061,56499,"Administração, defesa, educação e saúde públicas e seguridade social",4679,4718
PA,15,1503044,Floresta do Araguaia,19261,12642,249633,"Administração, defesa, educação e saúde públicas e seguridade social",3449,2194
PA,15,1503077,Garrafão do Norte,25326,9553,242303,"Administração, defesa, educação e saúde públicas e seguridade social",4160,2236
PA,15,1503093,Goianésia do Pará,37975,9493,373567,"Administração, defesa, educação e saúde públicas e seguridade social",4177,1634
PA,15,1503101,Gurupá,31623,7104,230594,"Administração, defesa, educação e saúde públicas e seguridade social",5110,2307
PA,15,1503200,Igarapé-Açu,37333,8064,304459,"Administração, defesa, educação e saúde públicas e seguridade social",4675,1904
PA,15,1503309,Igarapé-Miri,60343,6176,376722,"Administração, defesa, educação e saúde públicas e seguridade social",5431,1623
PA,15,1503408,Inhangapi,11053,10069,114665,"Administração, defesa, educação e saúde públicas e seguridade social",4012,3541
PA,15,1503457,Ipixuna do Pará,58558,8692,540966,"Administração, defesa, educação e saúde públicas e seguridade social",4438,1238
PA,15,1503507,Irituia,31654,6855,217116,"Administração, defesa, educação e saúde públicas e seguridade social",5213,2416
PA,15,1503606,Itaituba,98446,17972,1770652,Demais serviços,2577,478
PA,15,1503705,Itupiranga,51775,10811,560412,"Administração, defesa, educação e saúde públicas e seguridade social",3822,1213
PA,15,1503804,Jacundá,56006,8504,489192,"Administração, defesa, educação e saúde públicas e seguridade social",4523,1351
PA,15,1503903,Juruti,53989,18568,1045817,Indústrias extrativas,2499,736
PA,15,1504000,Limoeiro do Ajuru,27368,16120,453590,"Produção florestal, pesca e aquicultura",2860,1430
PA,15,1504059,Mãe do Rio,28959,10012,292956,"Administração, defesa, educação e saúde públicas e seguridade social",4026,1966
PA,15,1504109,Magalhães Barata,8279,9057,75314,"Administração, defesa, educação e saúde públicas e seguridade social",4305,4272
PA,15,1504208,Marabá,262085,31650,8596000,Indústrias extrativas,1046,120
PA,15,1504307,Maracanã,28656,7640,219104,"Administração, defesa, educação e saúde públicas e seguridade social",4872,2396
PA,15,1504406,Marapanim,27368,8031,221398,"Administração, defesa, educação e saúde públicas e seguridade social",4693,2378
PA,15,1504422,Marituba,122916,13984,1787967,Comércio e reparação de veículos automotores e motocicletas,3207,473
PA,15,1504455,Medicilândia,29887,18902,580775,"Agricultura, inclusive apoio à agricultura e a pós colheita",2447,1184
PA,15,1504505,Melgaço,26397,6313,169796,"Administração, defesa, educação e saúde públicas e seguridade social",5405,2850
PA,15,1504604,Mocajuba,29398,10124,306527,"Administração, defesa, educação e saúde públicas e seguridade social",3996,1895
PA,15,1504703,Moju,77385,11180,892439,"Administração, defesa, educação e saúde públicas e seguridade social",3717,844
PA,15,1504752,Mojuí dos Campos,15446,9920,155208,"Administração, defesa, educação e saúde públicas e seguridade social",4054,3003
PA,15,1504802,Monte Alegre,56312,12223,690194,"Administração, defesa, educação e saúde públicas e seguridade social",3520,1032
PA,15,1504901,Muaná,37977,6657,261178,"Administração, defesa, educação e saúde públicas e seguridade social",5290,2123
PA,15,1504950,Nova Esperança do Piriá,20663,10371,215606,"Administração, defesa, educação e saúde públicas e seguridade social",3940,2429
PA,15,1504976,Nova Ipixuna,15836,8445,136989,"Administração, defesa, educação e saúde públicas e seguridade social",4546,3237
PA,15,1505007,Nova Timboteua,14635,8224,122886,"Administração, defesa, educação e saúde públicas e seguridade social",4615,3422
PA,15,1505031,Novo Progresso,25135,24269,608443,Demais serviços,1708,1149
PA,15,1505064,Novo Repartimento,70835,11380,839896,"Administração, defesa, educação e saúde públicas e seguridade social",3673,889
PA,15,1505106,Óbidos,50459,12311,624485,"Administração, defesa, educação e saúde públicas e seguridade social",3501,1119
PA,15,1505205,Oeiras do Pará,30880,13655,431763,"Produção florestal, pesca e aquicultura",3273,1474
PA,15,1505304,Oriximiná,69024,23921,1700273,Indústrias extrativas,1754,497
PA,15,1505403,Ourém,17114,10825,187875,"Agricultura, inclusive apoio à agricultura e a pós colheita",3817,2664
PA,15,1505437,Ourilândia do Norte,30776,16925,540247,"Administração, defesa, educação e saúde públicas e seguridade social",2724,1239
PA,15,1505486,Pacajá,44778,12517,580557,"Administração, defesa, educação e saúde públicas e seguridade social",3467,1185
PA,15,1505494,Palestina do Pará,7424,8940,66030,"Administração, defesa, educação e saúde públicas e seguridade social",4342,4478
PA,15,1505502,Paragominas,107010,26810,2949844,Indústrias extrativas,1427,311
PA,15,1505536,Parauapebas,189921,91087,18431904,Indústrias extrativas,74,49
PA,15,1505551,Pau D'Arco,5535,13927,74386,"Administração, defesa, educação e saúde públicas e seguridade social",3220,4286
PA,15,1505601,Peixe-Boi,7874,6732,52914,"Administração, defesa, educação e saúde públicas e seguridade social",5257,4806
PA,15,1505635,Piçarra,12675,15892,200749,"Pecuária, inclusive apoio à pecuária",2898,2552
PA,15,1505650,Placas,28533,8498,255858,"Administração, defesa, educação e saúde públicas e seguridade social",4527,2159
PA,15,1505700,Ponta de Pedras,29160,7034,212566,"Administração, defesa, educação e saúde públicas e seguridade social",5140,2455
PA,15,1505809,Portel,58282,10743,648024,"Administração, defesa, educação e saúde públicas e seguridade social",3841,1092
PA,15,1505908,Porto de Moz,38471,7400,295942,"Administração, defesa, educação e saúde públicas e seguridade social",4989,1954
PA,15,1506005,Prainha,29200,10408,302523,"Administração, defesa, educação e saúde públicas e seguridade social",3927,1915
PA,15,1506104,Primavera,10485,14169,149255,"Administração, defesa, educação e saúde públicas e seguridade social",3178,3076
PA,15,1506112,Quatipuru,13044,6847,90639,"Administração, defesa, educação e saúde públicas e seguridade social",5215,3939
PA,15,1506138,Redenção,80797,20615,1699978,Demais serviços,2200,498
PA,15,1506161,Rio Maria,17738,26909,476420,Demais serviços,1411,1376
PA,15,1506187,Rondon do Pará,49977,10221,520490,"Administração, defesa, educação e saúde públicas e seguridade social",3978,1280
PA,15,1506195,Rurópolis,46804,7316,359148,"Administração, defesa, educação e saúde públicas e seguridade social",5028,1679
PA,15,1506203,Salinópolis,39078,10740,424970,"Administração, defesa, educação e saúde públicas e seguridade social",3843,1495
